,record_type_code,responsibility_beginning_date,right_to_transact_business_code,secretary_of_state_sos_or_coa_file_number,sos_charter_date,sos_status_code,sos_status_date,taxpayer_address,taxpayer_city,taxpayer_county_code,taxpayer_name,taxpayer_number,taxpayer_organizational_type,taxpayer_state,taxpayer_zip,current_exempt_reason_code,exempt_begin_date,_621111
24,V ,2003-02-03T00:00:00.000,A ,0800171920 ,2003-02-03T00:00:00.000,A ,2003-02-03T00:00:00.000,2 HIGH ST ,HOULTON ,0,MAPS ,10103488499 ,CM ,ME ,04730 ,19 ,2003-02-03T00:00:00.000,  
25,U,2021-05-20T00:00:00.000,A,0804076091,2021-05-20T00:00:00.000,A,2021-05-20T00:00:00.000,PO BOX 450169,LAREDO,240,SKG AGENCY INC.,32079320878,CT,TX,78045,,,
26,X ,1996-01-01T00:00:00.000,A ,  ,,  ,,38 ALDEN ST ,BANGOR ,0,BLUE KNIGHTS INTERNATIONAL LAW ENFORCEMENT MOTORCY ,10103557970 ,CM ,ME ,04401 ,51 ,1996-01-01T00:00:00.000," 
"
27,V ,2007-03-01T00:00:00.000,A ,0801214842 ,2010-01-06T00:00:00.000,A ,2010-01-06T00:00:00.000,41 HUTCHINS DR ,PORTLAND ,0,WOODARD & CURRAN INC. ,10103632229 ,CF ,ME ,04102 ,  ,,  
28,U,1987-03-25T00:00:00.000,A,0103271400,1987-03-25T00:00:00.000,A,1987-03-25T00:00:00.000,4112 E 29TH ST,BRYAN,21,"TEXAS SPORTS MEDICINE & WELLNESS CENTER, INC.",17424602245,CT,TX,77802,,,541000
29,U,2019-05-09T00:00:00.000,A,0803313553,2019-05-09T00:00:00.000,A,2019-05-09T00:00:00.000,9900 SPECTRUM DR,AUSTIN,246,HIGH COUNTRY CORAL LLC,32070674364,CL,TX,78717,,,
30,V ,2006-01-11T00:00:00.000,A ,0800597783 ,2006-01-11T00:00:00.000,A ,2006-01-11T00:00:00.000,PO BOX 9540 ,PORTLAND ,0,"TD EQUIPMENT FINANCE, INC. ",10103816970 ,CF ,ME ,04112 ,  ,,532000 
31,U,2022-07-01T00:00:00.000,A,0804630660,2022-07-01T00:00:00.000,A,2022-07-01T00:00:00.000,11177 COMPAQ CENTER WEST DR,HOUSTON,101,VIVAVERSE INV I LLC,32085287616,CL,TX,77070,,,
32,X,2008-01-01T00:00:00.000,A,,,,,25 HANOVER RD STE 300B,FLORHAM PARK,0,TRACKABOUT INC,12518585711,CF,NJ,07932,,,
33,U,2018-02-16T00:00:00.000,A,0802938405,2018-02-16T00:00:00.000,A,2018-02-16T00:00:00.000,10603 GOLD POINT DR,HOUSTON,101,TC GLASS INC,32066284533,CT,TX,77064,,,
34,U,2015-10-26T00:00:00.000,A,0802319341,2015-10-26T00:00:00.000,A,2015-10-26T00:00:00.000,1520 KNOX ST,HOUSTON,101,MICHAEL RUSSELL TENNIS LLC,32058674931,CL,TX,77007,,,
35,U,2022-01-19T00:00:00.000,A,0804393351,2022-01-19T00:00:00.000,A,2022-01-19T00:00:00.000,PO BOX 521,HUFFMAN,101,RAWEXOTICKENNELS LLC,32082765713,CL,TX,77336,,,
36,X ,1987-07-19T00:00:00.000,A ,  ,,  ,,56 INDUSTRIAL PARK RD STE 3 ,SACO ,0,CREATIVE BROADCAST CONCEPTS INC ,10103988670 ,CF ,ME ,04072 ,  ,,"541810
"
37,U,2021-08-04T00:00:00.000,A,0804178538,2021-08-04T00:00:00.000,A,2021-08-04T00:00:00.000,8407 BOWERS AVE,EL PASO,71,MOR  INSURANCE ADVISORS LLC,32080446480,CL,TX,79907,,,
38,U,2020-03-16T00:00:00.000,A,0803575303,2020-03-16T00:00:00.000,A,2020-03-16T00:00:00.000,11109 NEW ORLEANS DR,FRISCO,43,AMPLIFEIINTL LLC,32073753538,CL,TX,75035,,,
39,U,2006-07-06T00:00:00.000,A,0800677460,2006-07-06T00:00:00.000,R,2013-04-24T00:00:00.000,1208 BIRCH ST,HURST,220,"BLACK ROCK OPERATING CO., L.L.C.",32020147503,CL,TX,76053,,,
40,V ,2003-06-17T00:00:00.000,A ,0800257897 ,2003-10-10T00:00:00.000,A ,2003-10-10T00:00:00.000,PO BOX 810 ,KITTERY ,0,"WILSON 5 SERVICE COMPANY, INC. ",10104098453 ,CF ,ME ,03904 ,  ,,  
41,V,2021-03-08T00:00:00.000,N,0803971190,2021-03-08T00:00:00.000,F,2023-03-10T00:00:00.000,1601 ELM ST STE 4360,DALLAS,57,TRIPSITTER CORP.,32078153510,CF,TX,75201,,,
42,V,2021-09-01T00:00:00.000,N,0804147493,2021-07-13T00:00:00.000,F,2023-03-10T00:00:00.000,5250 BROWNWAY ST APT 1002,HOUSTON,101,KINGSWAY FOOD SERVICE LLC,32080102422,CI,TX,77056,,,
43,U,2012-09-11T00:00:00.000,A,0801653806,2012-09-11T00:00:00.000,A,2012-09-11T00:00:00.000,PO BOX 6705,ROUND ROCK,246,1956 TRADING LLC,32048978681,CL,TX,78683,,,
44,V,2021-09-14T00:00:00.000,N,0804231796,2021-09-14T00:00:00.000,F,2023-03-10T00:00:00.000,15500 VOSS RD STE 425,SUGAR LAND,79,"GLOBAL IMPACT VENTURES, LLC",32081018221,CI,TX,77498,,,541611
45,X ,2000-07-01T00:00:00.000,A ,  ,,  ,,3471 RIVER HILLS DR ,CINCINNATI ,0,MERIDIAN LIFE SCIENCE INC ,10104285985 ,CF ,OH ,45244 ,  ,,339113 
46,X ,2000-12-01T00:00:00.000,N ,  ,,  ,,945 BUNKER HILL RD STE 500 ,HOUSTON ,101,FLOTATION TECHNOLOGIES INC ,10104336481 ,CF ,TX ,77024 ,  ,,420000 
47,U,2006-09-01T00:00:00.000,A,0800701504,2006-09-01T00:00:00.000,A,2006-09-01T00:00:00.000,2300 VALLEY VIEW LN STE 215,DALLAS,57,"LEACH INDUSTRIES, LLC",17431885692,CL,TX,75234,,,334419
48,X ,2001-03-30T00:00:00.000,A ,  ,,  ,,249 CORPORATE DR STE 100 ,PORTSMOUTH ,0,LOFTWARE INC ,10104399802 ,CF ,NH ,03801 ,  ,,425120 
49,U,2019-05-24T00:00:00.000,A,0803327948,2019-05-24T00:00:00.000,A,2019-05-24T00:00:00.000,500 S WHITE CHAPEL BLVD,SOUTHLAKE,220,"ISP ELECTRONICS, LLC",32070870491,CL,TX,76092,,,
50,X ,1989-05-16T00:00:00.000,A ,  ,,  ,,119 CROSS POINT RD ,EDGECOMB ,0,THE CENTER FOR TEACHING AND LEARNING ,10104481733 ,CM ,ME ,04556 ,19 ,1989-05-16T00:00:00.000,  
51,U,2016-04-25T00:00:00.000,A,0802442336,2016-04-25T00:00:00.000,A,2016-04-25T00:00:00.000,4398 CRAWFORD DR,ABILENE,221,"HAPPY SNAP SELFIE CO., LLC",32060269183,CL,TX,79602,,,
52,U,2005-03-29T00:00:00.000,A,0800472620,2005-03-29T00:00:00.000,A,2005-03-29T00:00:00.000,6003 GREEN TREE RD,HOUSTON,101,"SIRC PROPERTIES, LLC",12026413299,CL,TX,77057,,,531210
53,X ,2001-01-01T00:00:00.000,A ,  ,,  ,,PO BOX 24305 ATTN: TAX DEPARTMENT ,OAKLAND ,0,BURT'S BEES INC ,10104653752 ,CF ,CA ,94623 ,  ,,446120 
54,U,1996-07-31T00:00:00.000,A,0140927300,1996-07-31T00:00:00.000,A,1996-07-31T00:00:00.000,8059 CALLAGHAN RD,SAN ANTONIO,15,RHONDA'S NATURES WAY HEALTH FOODS,17428027209,CT,TX,78230,,,446191
55,U,2018-08-07T00:00:00.000,A,0803086467,2018-08-07T00:00:00.000,A,2018-08-07T00:00:00.000,12033 HIGHWAY 6 STE 600,FRESNO,79,FOREVER WINGS OF LOVE LLC,32068006454,CL,TX,77545,,,
56,U,2009-08-03T00:00:00.000,A,0801153996,2009-08-03T00:00:00.000,A,2009-08-03T00:00:00.000,1389 COUNTY ROAD 1305,DEPORT,194,"U. S. WOMAN'S SERVICE COMPANY, LLC",32040033857,CL,TX,75435,,,
57,V,2006-07-16T00:00:00.000,A,0800726242,2006-10-27T00:00:00.000,R,2014-01-06T00:00:00.000,151 TEXAS WAY,FORT WORTH,220,"EXECUTIVE FLIGHT SERVICES, LLC",14504863862,CI,TX,76106,,,
58,X ,2002-01-07T00:00:00.000,N ,  ,,  ,,11555 CULEBRA RD LOT 622 ,SAN ANTONIO ,15,ABDI SERVICES INC ,10104830046 ,CF ,TX ,78253 ,  ,,561720 
59,U,2018-04-02T00:00:00.000,A,0802977471,2018-04-02T00:00:00.000,A,2018-04-02T00:00:00.000,172 LONE CREEK CIR,NEW BRAUNFELS,46,BLC & COMPANY LLC,32066721518,CL,TX,78132,,,
60,V ,1998-11-12T00:00:00.000,A ,0012383207 ,1998-11-12T00:00:00.000,Y ,2009-03-11T00:00:00.000,PO BOX 3745 ,ST AUGUSTINE ,0,MISSING CHILDREN ALERT PROGRAM ,10104837702 ,CM ,FL ,32085 ,19 ,1998-11-12T00:00:00.000,"561000
"
61,U,2021-05-27T00:00:00.000,A,0804085492,2021-05-27T00:00:00.000,A,2021-05-27T00:00:00.000,847 STATE ST,DESOTO,57,"KARLA MINGO HOME, LLC",32079451954,CL,TX,75115,,,
62,X ,1997-01-01T00:00:00.000,A ,  ,,  ,,120 LINDEN ST ,BANGOR ,0,ERGONOMIC CONSULTING SERVICES INC ,10104873533 ,CF ,ME ,04401 ,  ,,533110 
63,X ,2000-10-01T00:00:00.000,N ,  ,,  ,,PO BOX 405 ,LINCOLN ,0,LARKIN ENTERPRISES INC ,10104913230 ,CF ,ME ,04457 ,  ,,541330 
64,U,2016-06-21T00:00:00.000,A,0802485080,2016-06-21T00:00:00.000,A,2016-06-21T00:00:00.000,7400 COUNTY ROAD 252,BERTRAM,27,"YS RANCH, L.L.C.",32060839852,CL,TX,78605,,,112111
65,U,2022-07-01T00:00:00.000,A,0804631437,2022-07-01T00:00:00.000,A,2022-07-01T00:00:00.000,3613 SHIRE BLVD STE 150,RICHARDSON,57,"ADAPTABLE FARMING SYSTEMS, LLC",32085281692,CL,TX,75082,,,
66,V ,2000-01-01T00:00:00.000,A ,0801163137 ,2009-08-27T00:00:00.000,R ,2015-09-02T00:00:00.000,50 PORTLAND PIER STE 400 ,PORTLAND ,0,"ATLANTIC NATIONAL TRUST, LLC ",10105045750 ,CI ,ME ,04101 ,  ,," 
"
67,U,2006-08-10T00:00:00.000,A,0800692384,2006-08-10T00:00:00.000,R,2017-10-09T00:00:00.000,4617 WHITE ROCK ST,HOUSTON,101,NASARE SPORTS FOUNDATION,32020390210,CN,TX,77051,,,711211
68,X ,2006-01-01T00:00:00.000,U ,  ,,  ,,20 BRAEBURN LN ,BARRINGTON ,0,RECOVERY TECHNOLOGIES GRP OF MAINE ,10105087018 ,CF ,IL ,60010 ,  ,,  
69,X ,1997-01-01T00:00:00.000,A ,  ,,  ,,PO BOX 2030 ,AUBURN ,0,FUTURE GUARD BUILDING PRODUCTS INC ,10105121791 ,CF ,ME ,04211 ,  ,,425120 
70,U,2022-10-27T00:00:00.000,A,0804786973,2022-10-27T00:00:00.000,A,2022-10-27T00:00:00.000,3209 TREASURE HILLS BLVD,HARLINGEN,31,"VIERRA PROPERTIES SERIES, LLC",32086931824,CL,TX,78550,,,
71,V ,2006-11-27T00:00:00.000,A ,0800737956 ,2006-11-27T00:00:00.000,A ,2006-11-27T00:00:00.000,329 RYAN AVE ,BURLESON ,126,ALSTROM SYNDROME INTERNATIONAL ,10105151871 ,CM ,TX ,76028 ,19 ,2006-11-27T00:00:00.000,  
72,X ,2010-01-01T00:00:00.000,A ,  ,,  ,,4001 PACKARD RD ,NIAGARA FALLS ,0,CASCADES HOLDING US INC. ,10105185382 ,CF ,NY ,14303 ,  ,,  
73,U,2019-10-28T00:00:00.000,A,0803457095,2019-10-28T00:00:00.000,A,2019-10-28T00:00:00.000,1610 MCCARTY ST,HOUSTON,101,MATHIS TRUCK PARTS LLC,32072377826,CL,TX,77029,,,
74,X,2022-01-01T00:00:00.000,U,,,,,3072 N 750 E,LAYTON,0,"DIESEL AUTO POWER, LLC",32085013095,CI,UT,84041,,,
75,X ,1999-07-15T00:00:00.000,A ,  ,,  ,,97 DARLING AVE ,S PORTLAND ,0,WEX INC. ,10105269939 ,CF ,ME ,04106 ,  ,,518210 
76,U,2015-08-14T00:00:00.000,A,0802273300,2015-08-14T00:00:00.000,A,2015-08-14T00:00:00.000,5984 TIPPERARY DR,PLANO,43,BUCKAROO INVESTMENT GROUP LLC,32058061782,CL,TX,75093,,,
77,U,1999-12-14T00:00:00.000,A,0706000922,1999-12-14T00:00:00.000,A,1999-12-14T00:00:00.000,1800 N MASON RD,KATY,101,"ACADEMY MANAGING CO., L.L.C.",32002027103,CL,TX,77449,,,
78,V ,2010-09-09T00:00:00.000,A ,0801633165 ,2012-07-30T00:00:00.000,A ,2012-07-30T00:00:00.000,66 SCRIBNER HILL RD ,MANCHESTER ,0,"PROGRESS ENGINEERING, LLC ",10105320740 ,CI ,ME ,04351 ,  ,,"541330
"
79,U,2022-07-03T00:00:00.000,A,0804632309,2022-07-03T00:00:00.000,A,2022-07-03T00:00:00.000,1607 CANDLESTON LN,KATY,101,KATIKRAFTS LLC,32085313081,CL,TX,77450,,,
80,V,2021-01-07T00:00:00.000,N,0803889107,2021-01-07T00:00:00.000,F,2023-03-10T00:00:00.000,1999 BRYAN ST STE 900,DALLAS,57,"QIKR, INC.",32077275843,CF,TX,75201,,,
81,U,2019-10-30T00:00:00.000,A,0803458326,2019-10-30T00:00:00.000,A,2019-10-30T00:00:00.000,8850 CHATSWORTH DR,HOUSTON,101,"CR VINEYARDS, LLC",32072390159,CL,TX,77024,,,
82,X ,2008-01-01T00:00:00.000,A ,  ,,  ,,7510 MONTEVIDEO RD ,JESSUP ,0,"KINGSPAN HOLDINGS U.S., INC. ",10105394018 ,CF ,MD ,20794 ,  ,,551112 
83,X ,2009-01-01T00:00:00.000,U ,  ,,  ,,399 THORNALL ST STE 12 ,EDISON ,0,INTOFT CORPORATION ,10105417223 ,CF ,NJ ,08837 ,  ,,  
84,X ,2003-07-01T00:00:00.000,A ,  ,,  ,,2 STONEWALL LN ,YORK ,0,STONEWALL KITCHEN LLC ,10105440704 ,CI ,ME ,03909 ,  ,,311421 
85,V ,2005-04-28T00:00:00.000,A ,0800487518 ,2005-04-28T00:00:00.000,A ,2005-04-28T00:00:00.000,190 US ROUTE 1 C/O PMB 365 ,FALMOUTH ,0,"MATRIX GROUP BENEFITS, LLC ",10105449150 ,CI ,ME ,04105 ,  ,,"
524298 "
86,U,2004-04-23T00:00:00.000,A,0800333885,2004-04-23T00:00:00.000,A,2004-04-23T00:00:00.000,11445 EMERALD ST STE 112,DALLAS,57,"GADEL DEVELOPMENT, INC.",32014898749,CT,TX,75229,,,443142
87,U ,2001-12-17T00:00:00.000,A ,0800036946 ,2001-12-17T00:00:00.000,A ,2001-12-17T00:00:00.000,1964 CYPRESS CREEK PKWY ,HOUSTON ,101,"MOTORCYCLES UNLIMITED, INC. ",10105480411 ,CT ,TX ,77090 ,  ,,"
541213 "
88,U,2019-10-29T00:00:00.000,A,0803456616,2019-10-29T00:00:00.000,A,2019-10-29T00:00:00.000,4901 MONTEREY DR,FRISCO,43,"EXCEL HEART CARE, PLLC",32072381893,CL,TX,75034,,,
89,V ,2002-04-05T00:00:00.000,A ,0800073836 ,2002-04-05T00:00:00.000,A ,2002-04-05T00:00:00.000,2000 OLD SPANISH TRL STE 100 ,SLIDELL ,0,"GULF HARBOR SHIPPING, L.L.C. ",10105482482 ,CI ,LA ,70458 ,  ,,488510 
90,X,2022-02-28T00:00:00.000,A,,,,,12301 MADERO DR,AUSTIN,227,SAVANNAH CASTANEDA,32083483563,AB,TX,78748,,,
91,U,2021-08-19T00:00:00.000,A,0804258522,2021-08-19T00:00:00.000,A,2021-08-19T00:00:00.000,4601 BALCONES WOODS DR,AUSTIN,227,AUSTIN STUDENTS FOR LIFE,32081262308,CN,TX,78759,,,
92,U,2022-11-03T00:00:00.000,A,0804795201,2022-11-03T00:00:00.000,A,2022-11-03T00:00:00.000,2177 BUCKINGHAM RD # 247,RICHARDSON,57,LOVANTAGE INC.,32087046275,CT,TX,75081,,,
93,U,2021-06-07T00:00:00.000,A,0804099233,2021-06-07T00:00:00.000,A,2021-06-07T00:00:00.000,5900 BALCONES DR STE 100,AUSTIN,227,GOCHECK-1F 2021 SPC LLC,32079573476,CL,TX,78731,,,
94,U,2023-03-02T00:00:00.000,A,0804951577,2023-03-02T00:00:00.000,A,2023-03-02T00:00:00.000,1408 N CLOSNER BLVD # 32,EDINBURG,108,CLASSIC KINGS LLC,32088679538,CL,TX,78541,,,
95,U,2021-12-13T00:00:00.000,A,0804474352,2021-12-13T00:00:00.000,A,2021-12-13T00:00:00.000,17017 BRIDGEFARMER BLVD,PFLUGERVILLE,227,EMILY'S MAJESTIC GEMSTONES LLC,32083416738,CL,TX,78660,,,
96,U,2020-12-09T00:00:00.000,A,0803853327,2020-12-09T00:00:00.000,A,2020-12-09T00:00:00.000,212 FALCON,ROBINSON,161,"CENTEX STUMP GRINDING, LLC",32076933145,CL,TX,76706,,,
97,U ,2001-12-06T00:00:00.000,A ,0800033904 ,2001-12-06T00:00:00.000,A ,2001-12-06T00:00:00.000,PO BOX 88 ,KENNEDALE ,220,A-1 AFFORDABLE MOTORS INC. ,10105491806 ,CT ,TX ,76060 ,  ,,441120 
98,U,2014-11-17T00:00:00.000,A,0802102291,2014-11-17T00:00:00.000,A,2014-11-17T00:00:00.000,7646 TIMBER CREST DR,CORPUS CHRISTI,178,SINGH EDUCATION SERVICES LLC,32055708336,CL,TX,78413,,,
99,U,2009-01-02T00:00:00.000,A,0801069753,2009-01-02T00:00:00.000,A,2009-01-02T00:00:00.000,4001 106TH ST,LUBBOCK,152,"BRIAN RITTER CONSTRUCTION, INC.",32038596295,CT,TX,79423,,,
100,V ,2002-01-01T00:00:00.000,A ,0800100902 ,2002-07-10T00:00:00.000,A ,2002-07-10T00:00:00.000,9667 S 20TH ST ,OAK CREEK ,0,"MEDISERVE, INC. ",10105492358 ,CF ,WI ,53154 ,  ,,  
101,U ,2001-12-04T00:00:00.000,A ,0800033087 ,2001-12-04T00:00:00.000,A ,2001-12-04T00:00:00.000,7110 AVENUE C ,HOUSTON ,101,"LIL IKES, INC. ",10105495120 ,CT ,TX ,77011 ,  ,,811121 
102,U,2018-06-01T00:00:00.000,A,0803032585,2018-06-01T00:00:00.000,A,2018-06-01T00:00:00.000,13100 W BELLFORT AVE APT 1126,HOUSTON,101,NSA GROUP LLC,32067347958,CL,TX,77099,,,
103,U,2013-04-29T00:00:00.000,A,0801775291,2013-04-29T00:00:00.000,A,2013-04-29T00:00:00.000,5710 WELLINGTON DR,AUSTIN,227,"BRIAN YOUNG SOCCER CAMPS, LLC",32050858920,CL,TX,78723,,,812990
104,X ,2002-04-01T00:00:00.000,A ,  ,,  ,,PO BOX 2508 ,BAKERSFIELD ,0,FERGUSON RESOURCES INC ,10105500192 ,CF ,CA ,93303 ,  ,,  
105,U,2023-02-21T00:00:00.000,A,0804955585,2023-02-21T00:00:00.000,A,2023-02-21T00:00:00.000,337 FOXTHORNE WAY,LITTLE ELM,61,SPECS CLEANING LLC,32088644300,CL,TX,75068,,,
106,U,2017-12-28T00:00:00.000,A,0802893036,2017-12-28T00:00:00.000,A,2017-12-28T00:00:00.000,306 QUIET VALLEY DR,COPPELL,57,"TWO THIRTY-FIVE CTA, LLC",32065791736,CL,TX,75019,,,
107,U,2018-11-08T00:00:00.000,A,0803160789,2018-11-08T00:00:00.000,A,2018-11-08T00:00:00.000,2320 LAUREL CLIFF DR,NEW BRAUNFELS,46,MEAD BLAIR LLC,32068889362,CL,TX,78132,,,
108,U,2021-06-28T00:00:00.000,D,0804128803,2021-06-28T00:00:00.000,A,2021-06-28T00:00:00.000,225 JEFFREY DR,CEDAR CREEK,11,"LUXE BODY STUDIO , LLC",32079906783,CL,TX,78612,,,812199
109,U,2018-04-09T00:00:00.000,A,0802985197,2018-04-09T00:00:00.000,A,2018-04-09T00:00:00.000,5847 SAN FELIPE ST STE 3700,HOUSTON,101,NL STADIUM DRIVE LLC,32066793426,CL,TX,77057,,,
110,U ,2001-07-23T00:00:00.000,A ,0163721401 ,2001-07-23T00:00:00.000,A ,2001-07-23T00:00:00.000,PO BOX 546 ,LEXINGTON ,144,"LEXINGTON LOG CABINS & HERITAGE CENTER, INC. ",10105503097 ,CN ,TX ,78947 ,19 ,2001-07-23T00:00:00.000,  
111,U ,2001-12-05T00:00:00.000,A ,0800033343 ,2001-12-05T00:00:00.000,A ,2001-12-05T00:00:00.000,200 NE STALLINGS DR ,NACOGDOCHES ,174,REGENTS ACADEMY OF NACOGDOCHES ,10105503501 ,CN ,TX ,75961 ,19 ,2001-12-05T00:00:00.000,"
611110 "
112,U,2018-06-06T00:00:00.000,A,0803036094,2018-06-06T00:00:00.000,A,2018-06-06T00:00:00.000,3225 MCLEOD DR STE 100,LAS VEGAS,0,"625 MEADOWBROOK, LLC",32067393176,CL,NV,89121,,,
113,U ,2001-12-19T00:00:00.000,A ,0800038137 ,2001-12-19T00:00:00.000,R ,2010-07-26T00:00:00.000,PO BOX 787 ,PEARLAND ,20,"THE PROMENADE, INC. ",10105504012 ,CT ,TX ,77588 ,  ,,  
114,U,2022-06-29T00:00:00.000,A,0804627636,2022-06-29T00:00:00.000,A,2022-06-29T00:00:00.000,1116 SAVOY LN,SOUTHLAKE,220,TRINITY HOTEL 3 LLC,32085245713,CL,TX,76092,,,
115,U,2008-01-01T00:00:00.000,A,0008331210,1995-09-07T00:00:00.000,A,1995-09-07T00:00:00.000,75 2ND AVE STE 700,NEEDHAM,0,THE MORASH FAMILY LIMITED PARTNERSHIP,17427800887,PL,MA,02494,103,2009-01-01T00:00:00.000,
